Time,Data
9175060000,302644
9180180000,316299
9185300000,317179
9190420000,305282
9195540000,281100
9200660000,245597
9205780000,200183
9210900000,146662
9216020000,87337
9221140000,24427
9226260000,-39491
9231380000,-101760
9236500000,-159971
9241620000,-211691
9246740000,-254930
9251860000,-287877
9256980000,-309225
9262100000,-318114
9267220000,-314194
9272340000,-297652
9277460000,-269050
9282580000,-229609
9287700000,-180943
9292820000,-125027
9297940000,-63949
9303060000,-429
9308180000,63109
9313300000,124163
9318420000,180236
9323540000,229021
9328660000,268569
9333780000,297304
9338900000,314063
9344020000,318170
9349140000,309432
9354260000,288254
9359380000,255467
9364500000,212367
9369620000,160687
9374740000,102589
9379860000,40357
9384980000,-23571
9390100000,-86468
9395220000,-145953
9400340000,-199467
9405460000,-245028
9410580000,-280686
9415700000,-305022
9420820000,-317102
9425940000,-316354
9431060000,-302967
9436180000,-277263
9441300000,-240408
9446420000,-193866
9451540000,-139582
9456660000,-79561
9461780000,-16383
9466900000,47336
9472020000,109285
9477140000,166809
9482260000,217628
9487380000,259634
9492500000,291210
9497620000,311037
9502740000,318354
9507860000,312803
9512980000,294681
9518100000,264688
9523220000,224017
9528340000,174309
9533460000,117580
9538580000,56181
9543700000,-7584
9548820000,-70970
9553940000,-131544
9559060000,-186762
9564180000,-234499
9569300000,-272784
9574420000,-300059
9579540000,-315275
9584660000,-317732
9589780000,-307501
9594900000,-284780
9600020000,-250599
9605140000,-206306
9610260000,-153771
9615380000,-94982
9620500000,-32298
9625620000,31445
9630740000,94133
9635860000,152959
9640980000,205683
9646100000,250046
9651220000,284380
9656340000,307226
9661460000,317731
9666580000,315389
9671700000,300360
9676820000,273239
9681940000,235104
9687060000,187486
9692180000,132280
9697300000,71857
9702420000,8428
9707540000,-55299
9712660000,-116799
9717780000,-173586
9722900000,-223378
9728020000,-264190
9733140000,-294340
9738260000,-312644
9743380000,-318326
9748500000,-311240
9753620000,-291584
9758740000,-260155
9763860000,-218232
9768980000,-167568
9774100000,-110148
9779220000,-48179
9784340000,15523
9789460000,78725
9794580000,138731
9799700000,193209
9804820000,239833
9809940000,276827
9815060000,302644
9820180000,316299
9825300000,317179
9830420000,305282
9835540000,281100
9840660000,245597
9845780000,200183
9850900000,146662
9856020000,87337
9861140000,24427
9866260000,-39491
9871380000,-101760
9876500000,-159971
9881620000,-211691
9886740000,-254930
9891860000,-287877
9896980000,-309225
9902100000,-318114
9907220000,-314194
9912340000,-297652
9917460000,-269050
9922580000,-229609
9927700000,-180943
9932820000,-125027
9937940000,-63949
9943060000,-429
9948180000,63109
9953300000,124163
9958420000,180236
9963540000,229021
9968660000,268569
9973780000,297304
9978900000,314063
9984020000,318170
9989140000,309432
9994260000,288254
9999380000,255467
10004500000,212367
10009620000,160687
10014740000,102589
10019860000,40357
10024980000,-23571
10030100000,-86468
10035220000,-145953
10040340000,-199467
10045460000,-245028
10050580000,-280686
10055700000,-305022
10060820000,-317102
10065940000,-316354
10071060000,-302967
10076180000,-277263
10081300000,-240408
10086420000,-193866
10091540000,-139582
10096660000,-79561
10101780000,-16383
10106900000,47336
10112020000,109285
10117140000,166809
10122260000,217628
10127380000,259634
10132500000,291210
10137620000,311037
10142740000,318354
10147860000,312803
10152980000,294681
10158100000,264688
10163220000,224017
10168340000,174309
10173460000,117580
10178580000,56181
10183700000,-7584
10188820000,-70970
10193940000,-131544
10199060000,-186762
10204180000,-234499
10209300000,-272784
10214420000,-300059
10219540000,-315275
10224660000,-317732
10229780000,-307501
10234900000,-284780
10240020000,-250599
10245140000,-206306
10250260000,-153771
10255380000,-94982
10260500000,-32298
10265620000,31445
10270740000,94133
10275860000,152959
10280980000,205683
10286100000,250046
10291220000,284380
10296340000,307226
10301460000,317731
10306580000,315389
10311700000,300360
10316820000,273239
10321940000,235104
10327060000,187486
10332180000,132280
10337300000,71857
10342420000,8428
10347540000,-55299
10352660000,-116799
10357780000,-173586
10362900000,-223378
10368020000,-264190
10373140000,-294340
10378260000,-312644
10383380000,-318326
10388500000,-311240
10393620000,-291584
10398740000,-260155
10403860000,-218232
10408980000,-167568
10414100000,-110148
10419220000,-48179
10424340000,15523
10429460000,78725
10434580000,138731
10439700000,193209
10444820000,239833
10449940000,276827
10455060000,302644
10460180000,316299
10465300000,317179
10470420000,305282
10475540000,281100
10480660000,245597
10485780000,200183
10490900000,146662
10496020000,87337
10501140000,24427
10506260000,-39491
10511380000,-101760
10516500000,-159971
10521620000,-211691
10526740000,-254930
10531860000,-287877
10536980000,-309225
10542100000,-318114
10547220000,-314194
10552340000,-297652
10557460000,-269050
10562580000,-229609
10567700000,-180943
10572820000,-125027
10577940000,-63949
10583060000,-429
10588180000,63109
10593300000,124163
10598420000,180236
10603540000,229021
10608660000,268569
10613780000,297304
10618900000,314063
10624020000,318170
10629140000,309432
10634260000,288254
10639380000,255467
10644500000,212367
10649620000,160687
10654740000,102589
10659860000,40357
10664980000,-23571
10670100000,-86468
10675220000,-145953
10680340000,-199467
10685460000,-245028
10690580000,-280686
10695700000,-305022
10700820000,-317102
10705940000,-316354
10711060000,-302967
10716180000,-277263
10721300000,-240408
10726420000,-193866
10731540000,-139582
10736660000,-79561
10741780000,-16383
10746900000,47336
10752020000,109285
10757140000,166809
10762260000,217628
10767380000,259634
10772500000,291210
10777620000,311037
10782740000,318354
10787860000,312803
10792980000,294681
10798100000,264688
10803220000,224017
10808340000,174309
10813460000,117580
10818580000,56181
10823700000,-7584
10828820000,-70970
10833940000,-131544
10839060000,-186762
